variable	class	category	subcategory	entity.count	feature.count	entity.type	feature.type	minValue	maxValue	provenance
mtx.cn.RData	mtx.cn	matrix	copy number	gistic scores	563	23575	patient	gene	-2	2	tcga cBio
events.RData	history	list	history	clinical	7644	NA	NA	NA	NA	NA	tcga
ptHistory.RData	ptList	list	history	clinical patients	592	NA	NA	NA	NA	NA	tcga
historyTypes.RData	catList	list	history	clinical categories	12	NA	NA	NA	NA	NA	tcga
tbl.ptHistory.RData	tbl.ptHistory	data.frame	history	clinical table	592	425	patients	events	NA	NA	tcga
mtx.mrna.RData	mtx.mrna	matrix	mRNA expression	Z scores	154	20457	patient	gene	-5.6790	3359.2622	tcga cBio
mtx.mrna.ueArray.RData	mtx.mrna.ueArray	matrix	mRNA expression	Z scores	323	11864	patient	gene	-8.90925	15.54740	tcga cBio
mtx.mut.RData	mtx.mut	matrix	mutations	aa substitutions	291	6698	patient	gene	NA	NA	tcga cBio
mtx.prot.RData	mtx.prot	matrix	protein abundance	Z scores	214	171	patient	protein	-5.62437	10.30523	tcga cBio
markers.json.RData	g.markers.json	character	network	markers & samples	1443	2953	nodes	edges	NA	NA	TCGA
genesets.RData	genesets	list	geneset	NA	2	NA	gene	NA	NA	NA	marker.genes.545, tcga.GBM.classifiers
gbmPathways.json.RData	g.gbmPathways.json	character	network	GBM-related Pathways	156	203	nodes	edges	NA	NA	manual curation by Hamid Bolouri
verhaakGbmClustersAugmented.RData	tbl.verhaakPlus1	data.frame	categorized samples	tumors	548	2	patient	cluster & color	NA	NA	5 clusters; Verhaak 2010 + G-CIMP
ericsEightGliomaClusters.RData	tbl.glioma8	data.frame	categorized samples	tumors	704	2	patient	cluster & color	NA	NA	8 clusters; manual curation by Eric Holland

