entrez_gene_symbol	gene_long_name	interaction_claim_source	interaction_types	drug_name	drug_primary_name
HDAC10	histone deacetylase 10	ClearityFoundationClinicalTrial	n/a	VORINOSTAT	VORINOSTAT
HDAC10	histone deacetylase 10	TdgClinicalTrial	n/a	BELINOSTAT	BELINOSTAT
HDAC10	histone deacetylase 10	TdgClinicalTrial	n/a	CHIDAMIDE	CHIDAMIDE
HDAC10	histone deacetylase 10	TdgClinicalTrial	n/a	AR-42	AR-42
HDAC10	histone deacetylase 10	TdgClinicalTrial	n/a	RESMINOSTAT	RESMINOSTAT
HDAC10	histone deacetylase 10	TdgClinicalTrial	n/a	CRA-024781	CRA-024781
HDAC10	histone deacetylase 10	TdgClinicalTrial	n/a	MGCD-0103	MGCD-0103
HDAC10	histone deacetylase 10	TdgClinicalTrial	n/a	GIVINOSTAT	GIVINOSTAT
HDAC10	histone deacetylase 10	TdgClinicalTrial	n/a	PRACINOSTAT	PRACINOSTAT
HDAC10	histone deacetylase 10	TdgClinicalTrial	n/a	PANOBINOSTAT	PANOBINOSTAT
HDAC10	histone deacetylase 10	TdgClinicalTrial	n/a	CUDC-101	CUDC-101
HDAC10	histone deacetylase 10	TdgClinicalTrial	n/a	ROMIDEPSIN	ROMIDEPSIN
HDAC10	histone deacetylase 10	GuideToPharmacologyInteractions	n/a	7498	BUFEXAMAC
HDAC10	histone deacetylase 10	GuideToPharmacologyInteractions	n/a	6852	VORINOSTAT
HDAC10	histone deacetylase 10	GuideToPharmacologyInteractions	n/a	7503	QUISINOSTAT
HDAC10	histone deacetylase 10	TALC	inhibitor	GIVINOSTAT	GIVINOSTAT
HDAC10	histone deacetylase 10	TALC	inhibitor	DACINOSTAT	DACINOSTAT
HDAC10	histone deacetylase 10	TALC	inhibitor	PCI-24781	PCI-24781
HDAC10	histone deacetylase 10	TALC	inhibitor	PANOBINOSTAT	PANOBINOSTAT
HDAC10	histone deacetylase 10	TALC	inhibitor	BELINOSTAT	BELINOSTAT
HDAC10	histone deacetylase 10	TALC	inhibitor	VORINOSTAT	VORINOSTAT
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB00186	LORAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB00546	ADINAZOLAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB00404	ALPRAZOLAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB00842	OXAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB00801	HALAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB00683	MIDAZOLAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB01589	QUAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB01595	NITRAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB01587	KETAZOLAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB01558	BROMAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB00628	CLORAZEPATE
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB00231	TEMAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB00690	FLURAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB01068	CLONAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB01215	ESTAZOLAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB01559	CLOTIAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB00829	DIAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB00475	CHLORDIAZEPOXIDE
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB01567	FLUDIAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB00897	TRIAZOLAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB00349	CLOBAZAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB01594	CINOLAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	DrugBank	potentiator	DB01588	PRAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	CNS-7056	CNS-7056
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	ADINAZOLAM	ADINAZOLAM
