variable	class	category	subcategory	entity.count	feature.count	entity.type	feature.type	minValue	maxValue	provenance
mtx.cn.RData	mtx.cn	matrix	copy number	gistic scores	615	22184	patient	gene	-2	2	tcga cBio
events.RData	history	list	history	clinical	6075	NA	NA	NA	NA	NA	tcga gbm and lgg
ptHistory.RData	ptList	list	history	clinical patients	625	NA	NA	NA	NA	NA	tcga
historyTypes.RData	catList	list	history	clinical categories	12	NA	NA	NA	NA	NA	tcga
tbl.ptHistory.RData	tbl.ptHistory	data.frame	history	clinical table	625	410	patients	events	NA	NA	tcga
mtx.mrna_Agi.RData	mtx.mrna	matrix	mRNA expression	Z scores	222	17212	patient	gene	-16.0758	17.9217	tcga cBio
mtx.mrna_Seq.RData	mtx.mrna_Seq	matrix	mRNA expression	Z scores	365	20444	patient	gene	-5.8288	15252.2394	tcga cBio
mtx.mut.RData	mtx.mut	matrix	mutations	aa substitutions	223	14780	patient	gene	NA	NA	tcga cBio
genesets.RData	genesets	list	geneset	NA	3	NA	gene	NA	NA	NA	marker.genes.545, tcga.GBM.classifiers, tcga.pancan.mutated
gbmPathways.json.RData	g.gbmPathways.json	character	network	GBM-related Pathways	156	203	nodes	edges	NA	NA	manual curation by Hamid Bolouri
egfr.json.RData	g.egfr.json	character	network	egfr signaling	32	14	nodes	edges	NA	NA	manual curation
markers.json.RData	g.markers.json	character	network	markers & samples	1476	6819	nodes	edges	NA	NA	TCGA
