variable	class	category	subcategory	entity.count	feature.count	entity.type	feature.type	minValue	maxValue	provenance
mtx.cn.RData	mtx.cn	matrix	copy number	gistic scores	515	22184	patient	gene	-2	2	tcga
events.RData	history	list	history	clinical	5502	NA	NA	NA	NA	NA	tcga
ptHistory.RData	ptList	list	history	clinical patients	520	NA	NA	NA	NA	NA	tcga
historyTypes.RData	catList	list	history	clinical categories	12	NA	NA	NA	NA	NA	tcga
tbl.ptHistory.RData	tbl.ptHistory	data.frame	history	clinical table	520	341	patients	events	NA	NA	tcga
mtx.mrna_Agi.RData	mtx.mrna_Agi	matrix	mRNA expression	ratios	32	17212	patient	gene	-28.7792	22.6737	tcga
mtx.mrna_Seq.RData	mtx.mrna_Seq	matrix	mRNA expression	ratios	490	20444	patient	gene	-4.8681	38659.0448	tcga
mtx.mut.RData	mtx.mut	matrix	mutations	aa substitutions	229	14985	patient	gene	NA	NA	tcga
mtx.prot.RData	mtx.prot	matrix	protein abundance	Z scores	181	160	patient	protein	-5.1614017	9.95972284	tcga
mtx.methHM450.RData	mtx.meth	matrix	methylation	beta values	451	16183	patient	gene	0.005455252	0.994087466	tcga
mtx.methHM27.RData	mtx.meth	matrix	methylation	beta values	126	1637	patient	gene	0.004523024	0.994422364	tcga
genesets.RData	genesets	list	geneset	NA	3	NA	gene	NA	NA	NA	marker.genes.545, tcga.GBM.classifiers, tcga.pancan.mutated
gbmPathways.json.RData	g.gbmPathways.json	character	network	GBM-related Pathways	156	203	nodes	edges	NA	NA	manual curation by Hamid Bolouri
egfr.json.RData	g.egfr.json	character	network	egfr signaling	32	14	nodes	edges	NA	NA	manual curation
markers.json.RData	g.markers.json	character	network	markers & samples	1331	10965	nodes	edges	NA	NA	TCGA
