COMMON.NAMES	STANDARDIZED.NAMES
PANZEM	2-METHOXYESTRADIOL
6 THIGUANINE	6 THIOGUANINE
6 THIOGUANINE	6 THIOGUANINE
6-MERCAPTOPURINE	6-MERCAPTOPURINE
81C6	81C6
81C6	81C6
CH81C6	81C6
I131-81C6	81C6
MU81C6	81C6
MU81C6	81C6
9 AMINOCAMPTOTHECIN	9-AMINOCAMPTOTHECIN
9 IMMUNOAMINO CAMPTNETECIN	9-AMINOCAMPTOTHECIN
9AC 9 AMINOCAMPLOTECIAN	9-AMINOCAMPTOTHECIN
A4QN	A4QN
ABIRATERONE	ABIRATERONE ACETATE
EMD	ABITUZUMAB
ALBUMIN-BOUND PACLITAXEL	ABRAXANE
ABT-888	ABT-888
ABT-888 PARP INHIBITOR	ABT-888
ACCTUANE	ACCUTANE
ISOTRECTINOIN (ACCCUTANE)	ACCUTANE
ISOTRETINOIN	ACCUTANE
ADRIAMICIN	ADRIAMYCIN
ADRIAMYCIN	ADRIAMYCIN
ADRIAMYCIN	ADRIAMYCIN
ADRIAMYCIN	ADRIAMYCIN
"ADRIAMYCIN, CYTOXAN, AVASTIN"	ADRIAMYCIN/CYTOXAN/AVASTIN
ADRIAMYCIN+CUCLOPHOSPHAMIDE	ADRIAMYCIN/CYCLOPHOSPHAMIDE
ADRIAMYCIN+CYCLOPHOSPHAMID	ADRIAMYCIN/CYCLOPHOSPHAMIDE
ADRIAMYCIN+CYCLOPHOSPHAMIDE	ADRIAMYCIN/CYCLOPHOSPHAMIDE
ADRIAMYICIN	ADRIAMYICIN
ADRIMICIN+CYCLOPHOSPHAMIDE	ADRIAMYCIN/CYCLOPHOSPHAMIDE
ADRIMYCIN	ADRIMYCIN
ADRIMYCIN+CYCLOPHOSPHAMIDE	ADRIAMYCIN/CYCLOPHOSPHAMIDE
AE 788	AE 788
AE-37	AE-37
ALIMTA	ALIMTA
ALIMTA	ALIMTA
ALIMTA	ALIMTA
ALMITA	ALIMTA
ALMITA	ALIMTA
PEMETHEXED	ALIMTA
PEMETREXED	ALIMTA
PEMETREXED	ALIMTA
PEMETREXED DISODIUM	ALIMTA
PEMETREXED DISODIUM	ALIMTA
AMG 102	AMG 102
STUDY DRUG AMG 655	AMG 655
ANASTRAZOLE	ANASTROZOLE
ANASTROZOLE	ANASTROZOLE
ANASTROZOLE	ANASTROZOLE
