id	filename	md5	size	state
030e6faf-c38d-434b-85fc-d9e1428fbfa2	030e6faf-c38d-434b-85fc-d9e1428fbfa2/unc.edu.d1431a36-5c68-4e6e-9aea-72afe374efd1.1538177.rsem.genes.normalized_results	7170ff05f874bdba667ae2e2b65bb66a	436792	live
033f8268-6964-46bf-88a2-d5bcc40561d0	033f8268-6964-46bf-88a2-d5bcc40561d0/unc.edu.d4934e65-dc47-4f98-b4d4-e9034a96f446.2403566.rsem.genes.normalized_results	63f471526d35ca7ec5303f9ceb48f1f6	436803	live
0351f0bd-0835-468a-90a9-134d52861021	0351f0bd-0835-468a-90a9-134d52861021/unc.edu.85ef1d2f-2371-4fc7-a6f4-d102f4430b8a.2403422.rsem.genes.normalized_results	0195e3e6630bf956e32df7fa47f73a28	435811	live
0572e70f-ec92-457d-a315-c24f50254d13	0572e70f-ec92-457d-a315-c24f50254d13/unc.edu.f4d31bec-0bf5-4f59-ae0e-37170f1b692e.1532658.rsem.genes.normalized_results	e00451a2fcc51a40e473f0afe5f04755	435351	live
07ae5b2b-f7a2-4ea2-9bc3-91f45a1eadc5	07ae5b2b-f7a2-4ea2-9bc3-91f45a1eadc5/unc.edu.ebe88950-c783-4487-9bfc-ccaaeacf256c.1534069.rsem.genes.normalized_results	4fa2a2fa36f9f44a963b1a2e0dc72f13	437167	live
085d4070-ea44-4b80-9ec1-109a213afbfb	085d4070-ea44-4b80-9ec1-109a213afbfb/unc.edu.01b7a29e-0d3a-4a18-8cb6-f8a329f9d6e6.1545293.rsem.genes.normalized_results	e34af9cd8661a11149f5b0ae2d97491b	436695	live
09a38471-f558-43cf-b127-ab42d9401ad9	09a38471-f558-43cf-b127-ab42d9401ad9/unc.edu.612ef912-5a28-4c11-8703-3376f51afef5.1542073.rsem.genes.normalized_results	b6b80abe5f3945b9145a5d874aaf502d	436835	live
0c79f62e-96ce-4e15-ae44-23868d2dde62	0c79f62e-96ce-4e15-ae44-23868d2dde62/unc.edu.8fdc3c56-a96b-4cad-983a-12e6ef373069.1539929.rsem.genes.normalized_results	2c6f5f136b646c962cc872cae9ad4ebf	437070	live
0caa561c-2aa1-4082-90bf-c8f1a4ee104c	0caa561c-2aa1-4082-90bf-c8f1a4ee104c/unc.edu.da360144-ffaf-4f38-bd87-96319fa8d2d4.1535650.rsem.genes.normalized_results	8693d6432dfd848f9e462c6de4250ff9	436937	live
0d21f209-d5ea-4686-a3cb-5f2013603846	0d21f209-d5ea-4686-a3cb-5f2013603846/unc.edu.db5b5af5-c221-4268-a978-e12c550989e7.1534385.rsem.genes.normalized_results	b637873781ecd629b1653a6607a4c6c9	436122	live
0db7b8e3-444f-43e5-86fb-f021bacbbfdd	0db7b8e3-444f-43e5-86fb-f021bacbbfdd/unc.edu.84d56a0b-6ee1-4fe7-9491-d8815af1d6f5.1540596.rsem.genes.normalized_results	44d1047643eb81c6e2d005c515066892	436526	live
0f531499-6c9a-456b-9665-0423423da136	0f531499-6c9a-456b-9665-0423423da136/unc.edu.6f2fedb4-66e2-48fd-8744-cbd30075bb03.1540749.rsem.genes.normalized_results	f59f616879d4a1b64e13b4a5f1ed4a94	436945	live
