variable	class	category	subcategory	entity.count	feature.count	entity.type	feature.type	minValue	maxValue	provenance
mtx.cn.RData	mtx.cn	matrix	copy number	gistic scores	1079	22184	patient	gene	-2	2	tcga
events.RData	history	list	history	clinical	10841	NA	NA	NA	NA	NA	tcga
ptHistory.RData	ptList	list	history	clinical patients	1088	NA	NA	NA	NA	NA	tcga
historyTypes.RData	catList	list	history	clinical categories	11	NA	NA	NA	NA	NA	tcga
tbl.ptHistory.RData	tbl.ptHistory	data.frame	history	clinical table	1088	425	patients	events	NA	NA	tcga
mtx.mrna_Agi.RData	mtx.mrna_Agi	matrix	mRNA expression	ratios	1098	20444	patient	gene	-5.1856	38129.8286	tcga
mtx.mut.RData	mtx.mut	matrix	mutations	aa substitutions	980	15417	patient	gene	NA	NA	tcga
genesets.RData	genesets	list	geneset	NA	3	NA	gene	NA	NA	NA	marker.genes.545, tcga.GBM.classifiers, tcga.pancan.mutated
gbmPathways.json.RData	g.gbmPathways.json	character	network	GBM-related Pathways	156	203	nodes	edges	NA	NA	manual curation by Hamid Bolouri
egfr.json.RData	g.egfr.json	character	network	egfr signaling	32	14	nodes	edges	NA	NA	manual curation
markers.json.RData	g.markers.json	character	network	markers & samples	1799	39614	nodes	edges	NA	NA	TCGA
